project_name	principal_investigator	scientific_program	product_name	status	status_date	user_program	proposal	jgi_project_id	taxonomy_id	sequencing_project_id	analysis_project_id	project_manager	portal_id	field_id	folder_name	row_tree	current_name	voucher	provenance	rownum	year_planted	treenum	dnnumber	field_comments	date	field_determination	location	description	latitude	longitude	genus	subgenus	section	series	subseries	species	subspecies	tip_label	R1_filesize	R2_filesize	is_excluded
Eucalyptus cullenii CCA1676 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456312	3932	1457226	1456313	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucculsequencing_FD"",""Eucculsequencing_FD"")	CCA1676	Eucculsequencing_FD	R094/T26	Eucalyptus cullenii	DN 1322	Lakeland, Qld	94	1996	26	1322		1995-04-14	Eucalyptus cullenii	South of Lakeland Downs on Peninsula Developmental Rd, QLD	Tree 6m tall, Bark rough, hard and deeply furrowed, dark grey. Leaves dull, blue green. On steep, rocky slope. Photo AD	-15.9616666666667	144.831944444444	Eucalyptus	Symphyomyrtus	Adnataria	Siderophloiae		cullenii		E_cullenii	1687559687	2002613024	FALSE
Eucalyptus cupularis CCA2946 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-29	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456428	338535	1457284	1456429	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Euccupsequencing_FD"",""Euccupsequencing_FD"")	CCA2946	Euccupsequencing_FD	R136/T36	Eucalyptus cupularis	DN 1938	Halls Creek, WA	136	1997	36	1938		1996-10-16	Eucalyptus cupularis	Between Halls Creek and old Halls Creek township, Western Australia.	Several-stemmed tree 5 m tall. Bark smooth, tan over white. Leaves ± dull, green to slightly blue-green. Buds, twigs and fruits pruinose. Growing on and below rocky hill with Corymbia confertiflora and C. cliftoniana. CANB, PERTH	-18.2566666666667	127.711388888889	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Subexsertae	cupularis		E_cupularis	7456007224	10353992190	FALSE
Eucalyptus cyclostoma CCA0092 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455432	1711245	1456786	1455433	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Euccycsequencing_3_FD"",""Euccycsequencing_3_FD"")	CCA0092	Euccycsequencing_3_FD	R012/T12	Eucalyptus cyclostoma	DN 125	Newman Rock, WA	12	1993	12	125		1992-12-06	Eucalyptus cyclostoma		Growing with E. balladoniensis and E. optima.	-32.1594444444444	123.24	Eucalyptus	Symphyomyrtus	Dumaria	Ovulares		cyclostoma		E_cyclostoma	3487171725	4395719693	FALSE
Eucalyptus cylindriflora CCA0226 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455534	1711246	1456837	1455535	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Euccylsequencing_6_FD"",""Euccylsequencing_6_FD"")	CCA0226	Euccylsequencing_6_FD	R017/T12	Eucalyptus cylindriflora	DN 144	Salmon Gums, WA	17	1993	12	144		1992-12-06	Eucalyptus cylindriflora		Mallee 4m tall. With E. valens and E. diptera.	-32.8719444444444	121.591388888889	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Elongatae		cylindriflora		E_cylindriflora	2363003605	2814248307	FALSE
Eucalyptus cylindrocarpa CCA0351 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-19	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455626	1711247	1456883	1455627	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Euccylsequencing_5_FD"",""Euccylsequencing_5_FD"")	CCA0351	Euccylsequencing_5_FD	R023/T37	Eucalyptus cylindrocarpa	DN 121	Balladonia, WA	23	1993	37	121		1992-12-06	Eucalyptus cylindrocarpa	WA	Growing with E. spreta and E. calycogona	-32.2222222222222	123.365	Eucalyptus	Symphyomyrtus	Dumaria	Ovulares		cylindrocarpa		E_cylindrocarpa_1	3861139088	4788576408	FALSE
Eucalyptus cylindrocarpa CCA0493 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-19	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455756	1711247	1456948	1455757	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Euccylsequencing_7_FD"",""Euccylsequencing_7_FD"")	CCA0493	Euccylsequencing_7_FD	R039/T02	Eucalyptus cylindrocarpa	DN 526	Lake Minigwal, WA	39	1994	2	526		1993-09-30	Eucalyptus cylindrocarpa ""leioclada""	South of Lake Minigwal, Great Victoria Desert, WA	Mallee 5m tall. Bark smooth grey over cream and olive green. Leaves glossy green with many oil glands. Growing on edge of low sand dune on salty flat. Only 10-15 clumps seen in this one area. AD, CANB	-29.5941666666667	123.099722222222	Eucalyptus	Symphyomyrtus	Dumaria	Ovulares		cylindrocarpa		E_cylindrocarpa_2	2820993945	3534098844	FALSE
Eucalyptus dalrympleana subsp. 'Tasmania' CCA5866 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455168	87668	1456654	1455169	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdalsequencing_6_FD"",""Eucdalsequencing_6_FD"")	CCA5866	Eucdalsequencing_6_FD	R330/T11	Eucalyptus dalrympleana subsp. 'Tasmania'	DN 6736	Derwent River, Tas	330	2015	11	6736		2013-12-17	Eucalyptus dalrympleana subsp. Tasmania	Lyell Hwy, just south-east of Bronte, Tasmania.	Tree 22 metres tall. Bark smooth throughout, pale grey over cream. Leaves glossy, mid-green, undulate. Growing on slightly undulating ground in low forest with Eucalyptus rodwayi and E. pauciflora subsp. pauciflora. AD Seeds	-42.1727777777778	146.493055555556								E_dalrympleana_Tasmania_1	2484363483	3242537832	FALSE
Eucalyptus dalrympleana subsp. 'Tasmania' CCA5867 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455166	87668	1456653	1455167	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdalsequencing_7_FD"",""Eucdalsequencing_7_FD"")	CCA5867	Eucdalsequencing_7_FD	R330/T12	Eucalyptus dalrympleana subsp. 'Tasmania'	DN 6736	Derwent River, Tas	330	2015	12	6736		2013-12-17	Eucalyptus dalrympleana subsp. Tasmania	Lyell Hwy, just south-east of Bronte, Tasmania.	Tree 22 metres tall. Bark smooth throughout, pale grey over cream. Leaves glossy, mid-green, undulate. Growing on slightly undulating ground in low forest with Eucalyptus rodwayi and E. pauciflora subsp. pauciflora. AD Seeds	-42.1727777777778	146.493055555556								E_dalrympleana_Tasmania_2	2362830348	3075716356	FALSE
Eucalyptus dalrympleana CCA5613 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-09	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1454878	87668	1456509	1454879	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdalsequencing_9_FD"",""Eucdalsequencing_9_FD"")	CCA5613	Eucdalsequencing_9_FD	R308/T19	Eucalyptus dalrympleana subsp. heptantha	DN 5022	Eukey, Qld	308	2010	19	5022		2006-11-08	Eucalyptus dalrympleana subsp. heptantha	Breens Road, Eukey, south of Stanthorpe, Queensland.	Tree to 15 metres tall. Bark rough for up to three metres, thick and more or less loose, otherwise smooth, grey over cream. Leaves more or less glossy, green. Buds mixed 3's and 7's.  In broad valley with Angophora floribunda, Eucalyptus andrewsii, E. caliginosa and E. bridgesiana. AD	-28.77	151.980833333333	Eucalyptus	Symphyomyrtus	Maidenaria	Viminales	Circulares	dalrympleana	heptantha	E_dalrympleana_heptantha_1	4825474662	6165139225	FALSE
Eucalyptus dalrympleana CCA5614 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-09	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1454864	87668	1456502	1454865	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdalsequencing_8_FD"",""Eucdalsequencing_8_FD"")	CCA5614	Eucdalsequencing_8_FD	R308/T20	Eucalyptus dalrympleana subsp. heptantha	DN 5022	Eukey, Qld	308	2010	20	5022		2006-11-08	Eucalyptus dalrympleana subsp. heptantha	Breens Road, Eukey, south of Stanthorpe, Queensland.	Tree to 15 metres tall. Bark rough for up to three metres, thick and more or less loose, otherwise smooth, grey over cream. Leaves more or less glossy, green. Buds mixed 3's and 7's.  In broad valley with Angophora floribunda, Eucalyptus andrewsii, E. caliginosa and E. bridgesiana. AD	-28.77	151.980833333333	Eucalyptus	Symphyomyrtus	Maidenaria	Viminales	Circulares	dalrympleana	heptantha	E_dalrympleana_heptantha_2	4586735939	5740328054	FALSE
Eucalyptus dawsonii CCA0688 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-01-22	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455906	1711249	1457023	1455907	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdawsequencing_2_FD"",""Eucdawsequencing_2_FD"")	CCA0688	Eucdawsequencing_2_FD	R047/T20	Eucalyptus dawsonii	DN 743	Ginghi, NSW	47	1994	20	743		1993-12-28	Eucalyptus dawsonii	NSW	Tree 18m tall. Bark smooth grey and pink over white. Leaves dull grey green. Buds and twigs glaucous. Growing on hillside with E. blakelyi. Singleton.	-32.6086111111111	150.074722222222	Eucalyptus	Symphyomyrtus	Adnataria	Buxeales	Amissae	dawsonii		E_dawsonii	1757222333	1998443766	FALSE
Eucalyptus deanei CCA0138 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455466	338536	1456803	1455467	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdeasequencing_2_FD"",""Eucdeasequencing_2_FD"")	CCA0138	Eucdeasequencing_2_FD	R013/T41	Eucalyptus deanei	DN 633	Perrys Crossing, NSW	13	1994	41	633		1993-12-02	Eucalyptus deanei	North of Wisemans Ferry, New South Wales.	Tree 35 m tall. Bark smooth, grey over cream and white. Leaves discolourous, glossy dark green above. Growing on creekside. Sydney Map.	-33.2	150.995277777778	Eucalyptus	Symphyomyrtus	Maidenaria	'Deaneanae' ms		deanei		E_deanei	3739243403	4672057345	FALSE
Eucalyptus NA CCA0376 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-19	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455612	3932	1456876	1455613	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_11_FD"",""EucNAsequencing_11_FD"")	CCA0376	EucNAsequencing_11_FD	R024/T36	Eucalyptus decipiens	DN 227	Takalerup, WA	24	1993	36	227		1992-12-10	Eucalyptus decipiens	Chester Pass Rd, between Porongurups Ranges and Kamballup	Large mallee or scraggly tree 6m tall. Growing in depression with E. calophylla. Bark rough flaky to chunky bark to 5cm diameter. Leaves dull green.	-34.6555555555556	117.955833333333								E_decipiens_1	2831735780	3393662772	FALSE
Eucalyptus NA CCA1310 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456032	3932	1457086	1456033	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_34_FD"",""EucNAsequencing_34_FD"")	CCA1310	EucNAsequencing_34_FD	R073/T11	Eucalyptus decipiens	DN 1153	Perth, WA	73	1995	11	1153		1994-11-25	Eucalyptus decipiens	Bold Park - south side, Perth, WA	Mallee 5m tall. Bark rough, hard, grey throughout. Leaves glossy, green. Growing on rise of sand over limestone. A Photo										E_decipiens_2	3975661809	4840059281	FALSE
Eucalyptus NA CCA1311 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456034	3932	1457087	1456035	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_35_FD"",""EucNAsequencing_35_FD"")	CCA1311	EucNAsequencing_35_FD	R073/T12	Eucalyptus decipiens	DN 1153	Perth, WA	73	1995	12	1153		1994-11-25	Eucalyptus decipiens	Bold Park - south side, Perth, WA	Mallee 5m tall. Bark rough, hard, grey throughout. Leaves glossy, green. Growing on rise of sand over limestone. A Photo										E_decipiens_3	4797715210	6042887993	FALSE
Eucalyptus decorticans CCA1598 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456244	1711254	1457192	1456245	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdecsequencing_FD"",""Eucdecsequencing_FD"")	CCA1598	Eucdecsequencing_FD	R090/T30	Eucalyptus decorticans	DN 1260	Eidsvold, Qld	90	1996	30	1260		1995-04-09	Eucalyptus decorticans	Near Eidsvold, QLD	Tree 15m tall. Bark rough, deeply furrowed, black to 10cm then smooth, brown. Leaves dull, blue green. On rise with E. maculata and E. dolichocarpa. Photo AD	-25.3808333333333	151.150555555556	Eucalyptus	Symphyomyrtus	Adnataria	Siderophloiae		decorticans		E_decorticans	2460478383	2889483742	FALSE
Eucalyptus deflexa CCA1229 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455966	1711256	1457053	1455967	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdefsequencing_3_FD"",""Eucdefsequencing_3_FD"")	CCA1229	Eucdefsequencing_3_FD	R070/T20	Eucalyptus deflexa	DN 1110	Lake King, WA	70	1995	20	1110		1994-11-22	Eucalyptus deflexa		Mallee 4m tall. Bark smooth, light grey over cream. Leaves glossy, light green. Growing on white sand and laterite with E. eremophila and E. pileata. A Photo	-32.9202777777778	120.365833333333	Eucalyptus	Symphyomyrtus	Dumaria	Merrickianae		deflexa		E_deflexa	3673536004	4701409037	FALSE
Eucalyptus delicata CCA0267 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455570	183819	1456855	1455571	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdelsequencing_2_FD"",""Eucdelsequencing_2_FD"")	CCA0267	Eucdelsequencing_2_FD	R019/T30	Eucalyptus delicata	DN 149	Lort River, WA	19	1993	30	149		1992-12-06	Eucalyptus delicata		Tree 12m tall on mallee sandplain with E. valens and E. flocktoniae bark rough for ~2m. Leaves very glossy.	-33.0558333333333	121.174166666667	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Spirales	delicata		E_delicata	5809907392	7457283131	FALSE
Eucalyptus dendromorpha CCA5858 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455174	3932	1456657	1455175	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdensequencing_3_FD"",""Eucdensequencing_3_FD"")	CCA5858	Eucdensequencing_3_FD	R330/T03	Eucalyptus dendromorpha	DN 5869	Blue Mountains, NSW	330	2015	3	5869		2010-12-14	Eucalyptus dendromorpha	Echo Point lookout, Katooma, Blue Mountains, New South Wales.		-33.7327777777778	150.311944444444	Eucalyptus	Eucalyptus	Eucalyptus	Strictae	Irregulares	dendromorpha		E_dendromorpha	3266428369	4117974291	FALSE
Eucalyptus NA CCA1224 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-01-22	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455964	3932	1457052	1455965	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_41_FD"",""EucNAsequencing_41_FD"")	CCA1224	EucNAsequencing_41_FD	R070/T13	Eucalyptus densa subsp. densa	DN 1111	Lake King, WA	70	1995	13	1111		1994-11-22	Eucalyptus densa subsp. densa		Mallet 7m tall. Bark ± smooth, pinkish grey. Leaves dull blue green. Growing in depression with E. eremophila, E. pileata and E. calycogona. A	-33.0725	120.216944444444								E_densa_densa	1626358029	1819577124	FALSE
Eucalyptus desmondensis CCA0235 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455548	1711262	1456844	1455549	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdessequencing_2_FD"",""Eucdessequencing_2_FD"")	CCA0235	Eucdessequencing_2_FD	R018/T02	Eucalyptus desmondensis	DN 192	Desmond, WA	18	1993	2	192		1992-12-04	Eucalyptus desmondensis		Mallee, scraggly, 3m tall. In Casuarina heath as an emergent. Leaves dull blue-green to glaucous. Flowering.	-33.6183333333333	120.136388888889	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Levispermae	Desmondenses	desmondensis		E_desmondensis	3243885914	4178657443	FALSE
Eucalyptus NA CCA0234 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455546	3932	1456843	1455547	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_17_FD"",""EucNAsequencing_17_FD"")	CCA0234	EucNAsequencing_17_FD	R018/T01	Eucalyptus desmondensis x E. occidentalis	DN 192	Desmond, WA	18	1993	1	192		1992-12-04	Eucalyptus desmondensis		Mallee, scraggly, 3m tall. In Casuarina heath as an emergent. Leaves dull blue-green to glaucous. Flowering.	-33.6183333333333	120.136388888889								E_desmondensis_x_E_occidentalis	3811565952	4912379080	FALSE
Eucalyptus deuaensis CCA3039 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-29	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456496	582362	1457318	1456497	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdeusequencing_FD"",""Eucdeusequencing_FD"")	CCA3039	Eucdeusequencing_FD	R141/T25	Eucalyptus deuaensis	DN 1769	Deua Nat. Park, NSW	141	1997	25	1769		1996-04-23	Eucalyptus deuaensis	Western cliff edge of mountain about 2 km ENE of Mongamula Mountain, Deua National Park, New South Wales.	Whipstick mallee 3 metres tall. Bark smooth, light grey. Leaves dull, slightly blue-green, reticulation obsure due to numerous island oil glands. Growing on rocky west-facing cliff immediately below forest of Eucalyptus sieberi and E. smithii. AD, CANB; Photos	-35.8333333333333	149.8	Eucalyptus	Eucalyptus	Eucalyptus	Olsenianae		deuaensis		E_deuaensis	5341834097	6899233268	FALSE
Eucalyptus dielsii CCA1204 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455982	1711263	1457061	1455983	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdiesequencing_4_FD"",""Eucdiesequencing_4_FD"")	CCA1204	Eucdiesequencing_4_FD	R069/T15	Eucalyptus dielsii	DN 1120	Ravensthorpe, WA	69	1995	15	1120		1994-11-23	Eucalyptus dielsii		Mallet to 6m with dense crown. Bark smooth grey and tan. Leaves glossy, green. Growing with E. platypus and E. pileata. A Photo	-33.4461111111111	119.955	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Elongatae		dielsii		E_dielsii_1	4628560937	5793278563	FALSE
Eucalyptus dielsii CCA5707 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-09	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1454982	1711263	1456561	1454983	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdiesequencing_5_FD"",""Eucdiesequencing_5_FD"")	CCA5707	Eucdiesequencing_5_FD	R313/T18	Eucalyptus dielsii	DN 5472	Lake King, WA	313	2011	18	5472		2010-03-20	Eucalyptus dielsii	Stennetts Lake Rd, SE of Lake King, Western Australia.	Mallet to 6 m tall. Bark smooth throughout, grey over tan-coppery. Leaves consistently small and narrow, glossy, maturing green. Common here in mallet woodland in broad depression in whitish clay-loam with Eucalyptus urna and E. salubris. CANB, PERTH + seed + photos	-33.1569444444444	119.962222222222	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Elongatae		dielsii		E_dielsii_2	4074034725	5407496506	FALSE
Eucalyptus diminuta CCA0408 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-19	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455660	1711264	1456900	1455661	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdimsequencing_6_FD"",""Eucdimsequencing_6_FD"")	CCA0408	Eucdimsequencing_6_FD	R025/T39	Eucalyptus diminuta	DN 271	Geraldton, WA	25	1993	39	271		1992-12-12	Eucalyptus diminuta	WA	Spreading mallee to 6m tall. Growing on stony slope with E. blaxellii. Bark smooth bronze grey bark. Leaves glossy  light green. Photo point in Eucs 2	-28.7016666666667	114.695	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Erectae	Pedicellatae	diminuta		E_diminuta_1	2787960951	3503000664	FALSE
Eucalyptus diminuta CCA0418 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-19	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455668	1711264	1456904	1455669	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdimsequencing_7_FD"",""Eucdimsequencing_7_FD"")	CCA0418	Eucdimsequencing_7_FD	R026/T17	Eucalyptus diminuta	DN 271	Geraldton, WA	26	1993	17	271		1992-12-12	Eucalyptus diminuta	WA	Spreading mallee to 6m tall. Growing on stony slope with E. blaxellii. Bark smooth bronze grey bark. Leaves glossy  light green. Photo point in Eucs 2	-28.7016666666667	114.695	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Erectae	Pedicellatae	diminuta		E_diminuta_2	3370002833	4248573712	FALSE
Eucalyptus diminuta CCA5690 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-09	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1454962	1711264	1456551	1454963	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdimsequencing_8_FD"",""Eucdimsequencing_8_FD"")	CCA5690	Eucdimsequencing_8_FD	R312/T26	Eucalyptus diminuta	DN 5543	Beermullah Plain, WA	312	2011	26	5543		2010-03-27	Eucalyptus diminuta	N of Pinpin Rd on farm, Berrmullah Plain, Western Australia.	Mallee 4.5 m tall. Bark smooth throughout, grey over orange. leaves dull, slightly blue-green at first, maturing glossy and dark green. About ten mallees here in fenced uncleared patch in vast paddock on plain of grey clay. Another slightly larger population of same (about 15 mallees) about 600 m to SE of here. AD, CANB, PERTH + seed + photos	-31.1919444444444	115.705833333333	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Erectae	Pedicellatae	diminuta		E_diminuta_3	3633215151	4516119578	FALSE
Eucalyptus diminuta CCA5691 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-09	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1454960	1711264	1456550	1454961	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Eucdimsequencing_9_FD"",""Eucdimsequencing_9_FD"")	CCA5691	Eucdimsequencing_9_FD	R312/T27	Eucalyptus diminuta	DN 5543	Beermullah Plain, WA	312	2011	27	5543		2010-03-27	Eucalyptus diminuta	N of Pinpin Rd on farm, Berrmullah Plain, Western Australia.	Mallee 4.5 m tall. Bark smooth throughout, grey over orange. leaves dull, slightly blue-green at first, maturing glossy and dark green. About ten mallees here in fenced uncleared patch in vast paddock on plain of grey clay. Another slightly larger population of same (about 15 mallees) about 600 m to SE of here. AD, CANB, PERTH + seed + photos	-31.1919444444444	115.705833333333	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Erectae	Pedicellatae	diminuta		E_diminuta_4	3750972670	4557412991	FALSE
